m, tiempoTotal
961, 14853676
962, 16333944
963, 15677072
964, 19018508
965, 16634559
966, 16887925
967, 15186678
968, 19507440
969, 15606423
970, 15903121
971, 15845407
972, 19233296
973, 16276917
974, 15195953
975, 16131096
976, 18732133
977, 16662034
978, 14542851
979, 16660924
980, 19511195
981, 15812910
982, 15511081
983, 15147989
984, 20706558
985, 15868823
986, 14783024
987, 15299524
988, 22890467
989, 16684629
990, 15147603
991, 15577256
992, 24005974
993, 15255831
994, 14581485
995, 16694293
996, 20387849
997, 16069993
998, 14356933
999, 16704808
1000, 21141822
1001, 18842624
1002, 15356353
1003, 17434246
1004, 18816985
1005, 15887381
1006, 15837278
1007, 15234622
1008, 21882849
1009, 16548299
1010, 15900422
1011, 16532158
1012, 18216626
1013, 15751208
1014, 17145248
1015, 15963771
1016, 19135489
1017, 18388321
1018, 15895122
1019, 16089999
1020, 18903951
1021, 15983275
1022, 16779401
1023, 18828235
1024, 20111464
1025, 15429238
1026, 15586242
1027, 19641732
1028, 19407722
1029, 16380816
1030, 17220530
1031, 17949882
1032, 20963579
1033, 15181637
1034, 15418494
1035, 20632377
1036, 20473958
1037, 15056706
1038, 16140625
1039, 17821360
1040, 22905688
1041, 16814099
1042, 15442852
1043, 18698367
1044, 21555267
1045, 15884342
1046, 15575243
1047, 17600856
1048, 23025681
1049, 16649370
1050, 16268839
1051, 18114410
1052, 21546941
1053, 17217182
1054, 16232541
1055, 17393767
1056, 20916440
1057, 18492879
1058, 14907612
1059, 17974804
1060, 19013146
1061, 18816080
1062, 15712619
1063, 18688236
1064, 19276663
1065, 17854298
1066, 16723821
1067, 18574594
1068, 20572361
1069, 16680927
1070, 18245385
1071, 15813463
1072, 20901826
1073, 15967887
1074, 16357298
1075, 17031901
1076, 18547551
1077, 16659023
1078, 18204811
1079, 20331162
1080, 21137513
1081, 17211755
1082, 17751253
1083, 20874500
1084, 20629374
1085, 16478118
1086, 17201013
1087, 21630106
1088, 20062016
1089, 17279617
1090, 17117993
1091, 24740497
1092, 19033712
1093, 15501263
1094, 18220366
1095, 19708411
1096, 23864484
1097, 16224625
1098, 16959215
1099, 20395283
1100, 21737136
1101, 17334503
1102, 16785746
1103, 20925613
1104, 23078796
1105, 17418868
1106, 16783970
1107, 19317362
1108, 21682959
1109, 18778757
1110, 16745462
1111, 20165058
1112, 20984257
1113, 18928407
1114, 17427467
1115, 20030946
1116, 19429270
1117, 18290776
1118, 18888314
1119, 20226084
1120, 18448009
1121, 19446370
1122, 17846936
1123, 21147352
1124, 20162148
1125, 17510905
1126, 20188773
1127, 20889216
1128, 19705717
1129, 17071319
1130, 18921691
1131, 19560522
1132, 21433862
1133, 21576822
1134, 28104602
1135, 28890360
1136, 27574638
1137, 23483456
1138, 22060690
1139, 22058652
1140, 20782850
1141, 23485540
1142, 22365477
1143, 26671014
1144, 24677185
1145, 21099893
1146, 19608943
1147, 34690409
1148, 33321377
1149, 32654423
1150, 30300668
1151, 39063427
1152, 34408718
1153, 28323903
1154, 31912693
1155, 28723194
1156, 32865352
1157, 31862304
1158, 29279731
1159, 27969654
1160, 44178136
1161, 31507354
1162, 26595475
1163, 32363083
1164, 36361870
1165, 38057237
1166, 30397086
1167, 26732846
1168, 36213207
1169, 39651391
1170, 26896319
1171, 33500379
1172, 27521908
1173, 47681956
1174, 24571191
1175, 31198995
1176, 32747757
1177, 24430977
1178, 20693779
1179, 25247653
