cant_ejes, ns_rutas_completas, ns_rutas_vacias, ns_rutas_esparso_conexo, ns_rutas_esparso_disconexo, ns_rutas_denso_conexo, ns_rutas_denso_disconexo
304, 96888526, 59341919, 85748696, 53703142, 85073341, 61709479
305, 81652655, 66780032, 64538395, 50228834, 79847313, 73105300
306, 78075149, 75905443, 66644946, 56975516, 90513277, 70286706
307, 65560122, 66803862, 80354550, 54589374, 77919556, 81162794
308, 109555652, 90988387, 83742605, 90776008, 138549328, 125174163
309, 121248613, 109613921, 113078830, 108457903, 140198747, 113828553
310, 131993123, 99307015, 117930676, 81097299, 114372837, 126208771
311, 111755263, 92808000, 107523763, 88724844, 91185569, 102642793
312, 85702452, 64208358, 59515656, 61104438, 74986723, 83335257
313, 82362713, 65449660, 77058048, 67215380, 74213317, 97790474
314, 80827592, 79947574, 66301629, 65399576, 75259384, 86414903
315, 97637400, 76628640, 68330423, 78490208, 80436611, 84571808
316, 76388339, 79690472, 70862431, 61023832, 84979427, 79204886
317, 87939040, 60593744, 69127054, 57102457, 81036526, 90052344
318, 79008848, 64526239, 79913980, 72445684, 102894699, 80839293
319, 83548855, 75497813, 65185328, 63641972, 82564451, 77519391
320, 87451541, 69277514, 68995159, 62815815, 76353443, 91223251
321, 80134087, 68540023, 64305146, 63388513, 85874604, 83448025
322, 79259412, 69680537, 65792659, 66828495, 86176518, 78909843
323, 88765935, 68204415, 67258827, 57873098, 76889089, 80592138
324, 84226969, 74168728, 86742858, 62007833, 84440490, 85173846
325, 84780379, 75824315, 70423231, 73256921, 83745988, 82975663
326, 103816147, 68876410, 94147967, 72585236, 102451200, 75333072
327, 88742816, 77974787, 66355777, 70007683, 93915587, 101562452
328, 85933858, 67901554, 76800958, 66728670, 85722363, 83160727
329, 102044504, 70174808, 73860890, 67627401, 85205090, 95928557
330, 78797287, 73868664, 71706680, 91293255, 89583744, 97380584
331, 82943173, 77063215, 82047747, 68345043, 88216392, 88712886
332, 86773335, 88120592, 82840789, 74601998, 92968543, 86851679
333, 83012361, 81491163, 93913663, 75071919, 80437882, 97603266
334, 89712225, 72257226, 87799998, 76477971, 89105733, 99380946
335, 105609870, 80472971, 76495288, 65390196, 99547351, 123573918
336, 89368969, 77507307, 75005113, 70157357, 84847189, 97937814
337, 91655100, 78211263, 80695595, 76232245, 88644695, 94388652
338, 108989748, 70201550, 80998764, 78138411, 84137418, 92299350
339, 88840252, 69747763, 97336609, 64524287, 82188808, 82835466
340, 99807102, 79119776, 85783654, 70857321, 101048902, 119251865
341, 103341927, 80415009, 82945574, 64590873, 84805931, 81634391
342, 100108215, 88069253, 81923018, 67333056, 89132798, 99338630
343, 106562143, 90230470, 75141351, 70732354, 106345862, 95729921
344, 95286767, 74244718, 89528935, 68813168, 105341536, 91621224
345, 93984480, 79592405, 93226323, 95245248, 100168438, 97716206
346, 95749198, 77342957, 87474662, 69232585, 95454779, 104292475
347, 94591161, 85832775, 81970948, 78253396, 93353818, 108364566
348, 106691491, 85178041, 75899585, 76270955, 93401683, 88609888
349, 95621584, 76984025, 78576720, 75892020, 104272622, 101711989
350, 127260565, 84574828, 88801620, 69705270, 103191000, 105590257
351, 96534341, 90683063, 82287268, 74104025, 106957530, 95310198
352, 108558781, 95590966, 94440879, 94788689, 103770178, 102017313
353, 109453980, 78494754, 77096423, 73611253, 90355928, 101136075
354, 103569826, 93087650, 90982196, 78911415, 91828792, 99435668
355, 115051487, 82415227, 87423088, 79140352, 91156834, 98445253
356, 98663375, 83791370, 98795797, 81554603, 105733489, 107744151
357, 96303514, 95164047, 86030086, 74389387, 100738020, 103194997
358, 110631568, 87787272, 84683028, 78894198, 114486083, 102988017
359, 106928753, 76690997, 93273429, 66455037, 102541254, 103530378
360, 101460212, 99555336, 99521596, 79304970, 100957601, 98964881
361, 115634068, 88440318, 87931275, 78597871, 104923737, 123075934
362, 102080933, 92652225, 91552404, 79430146, 107170446, 102921688
363, 120856619, 105710975, 88073913, 99600766, 103359459, 103937860
364, 114995043, 86931116, 93279459, 83336670, 119954521, 116197965
365, 105722865, 97303877, 92831720, 96068362, 125391617, 122553511
366, 124032883, 92468358, 92893904, 77407374, 116188351, 105493893
367, 117855267, 93060816, 102609241, 84258359, 105066100, 108638533
368, 123760914, 96923356, 96554148, 83034361, 111414571, 120450623
369, 124110058, 85880315, 109814964, 76037823, 115037527, 115146685
370, 110771751, 91340348, 98100446, 74809059, 113174183, 110597199
371, 115136236, 97107923, 100895023, 83129037, 124624610, 101691586
372, 115512686, 112852657, 91568898, 78556364, 115130706, 127642291
373, 118771636, 128782219, 113797992, 89423577, 114398340, 130821987
374, 129524997, 98513440, 134549166, 115335914, 128019250, 128732879
375, 117625762, 96178477, 114814084, 121895638, 150411948, 164187138
376, 214780186, 181537845, 177036865, 139918803, 227516594, 203456330
377, 224057232, 195225534, 192635814, 193957011, 254850119, 236778838
378, 265874322, 238361423, 203061774, 184896277, 251052946, 249582037
379, 158176026, 120708887, 122835619, 111709028, 140048268, 133279022
380, 125973111, 137479421, 150191476, 133515158, 164238247, 179593390
381, 119801657, 108367406, 113209523, 113048601, 143846239, 150937577
382, 120544076, 111733196, 109761329, 88528797, 136046525, 148873567
383, 135218802, 113597211, 122680846, 127198241, 140879295, 146776877
384, 127467753, 118846929, 95852593, 99729935, 130417827, 135688715
385, 137144350, 110973307, 112136389, 113218531, 122241531, 132132959
386, 157366503, 114055176, 134200506, 103806700, 131603518, 144026931
387, 130524273, 115234915, 104087278, 90493728, 141601506, 130566378
388, 118885268, 111278202, 110035237, 104944463, 130544778, 123530696
389, 139145994, 96689980, 114662560, 110723096, 134415128, 118817898
390, 124680961, 114043277, 119298701, 105383616, 163420524, 138337527
391, 130825118, 124951399, 105510227, 110891925, 139016180, 137815402
392, 135161541, 109402027, 129382075, 104494793, 148468573, 161988789
393, 175784649, 124313336, 144587191, 169625594, 151215120, 148708333
394, 130950489, 127834159, 113172128, 112634652, 133143712, 140248861
395, 136257806, 120347928, 131573216, 104655445, 122259211, 138065875
396, 154794080, 112326184, 129290627, 100027816, 143542305, 138282855
397, 141214445, 122391627, 122333851, 122643665, 154061280, 149978733
398, 126565772, 102824504, 142361472, 92941333, 128403390, 127523482
399, 123722546, 106626555, 117142317, 128331288, 131551245, 132740880
400, 152400309, 106849059, 111822469, 104277940, 127085986, 160879866
401, 154526317, 141489981, 113308767, 120810348, 130714220, 159895404
402, 131713986, 114364909, 123084034, 125542519, 157557634, 130296773
403, 177281752, 128013934, 131637304, 102517639, 142804966, 141536616
404, 151979010, 110220709, 129680258, 100118216, 140031236, 152309746
405, 169995700, 134432386, 185808550, 135793103, 168626095, 177986600
406, 184030270, 130937681, 121818108, 108222136, 145688799, 148166438
407, 183098132, 164621824, 152447627, 104776654, 144807056, 149239851
408, 153639002, 143467925, 141423345, 138248164, 184381943, 183833467
409, 191010993, 142234780, 139087247, 115960730, 160984455, 174920893
410, 158133736, 115786689, 102498318, 111350713, 145161407, 137900260
411, 181894183, 145916983, 133556895, 107617349, 138417169, 130177490
412, 142051981, 114800952, 119685214, 113630874, 147283043, 147659479
413, 168095756, 118996492, 122364762, 105629538, 124488523, 141347208
414, 139872251, 125138351, 146963745, 120957921, 155213293, 142878764
415, 154493460, 133456242, 129342918, 112505023, 151819533, 144413018
416, 151178984, 132873956, 131201754, 107831918, 138845182, 139130975
417, 145493264, 105886290, 117311748, 102865050, 159089873, 154063800
418, 148292119, 121017404, 110028500, 122395695, 182210042, 140729013
419, 145051845, 153704557, 142045336, 116648443, 156448824, 152798385
420, 151579076, 154777952, 114752848, 100130309, 156124542, 149955038
421, 151764287, 127664546, 126951050, 109892102, 156899803, 162065307
