cant_ejes, ns_rutas_completas, ns_rutas_vacias, ns_rutas_esparso_conexo, ns_rutas_esparso_disconexo, ns_rutas_denso_conexo, ns_rutas_denso_disconexo
343, 101627030, 88088208, 85115576, 79115591, 105463405, 97703185
344, 97344958, 98256571, 77053754, 74781656, 98938933, 92531244
345, 95416976, 91667038, 86596245, 73738794, 98132212, 101946214
346, 97389707, 81425563, 86743853, 87321762, 95892232, 107625736
347, 97273144, 82077577, 99378918, 76631211, 106619648, 96011087
348, 94742194, 90781693, 81287824, 82139586, 99317389, 99847624
349, 131882834, 120033951, 104735615, 78959954, 110477455, 108441649
350, 97564199, 91937282, 86777248, 81523433, 114939528, 108224629
351, 96616912, 88120715, 97917988, 87792941, 104468769, 110433852
352, 111487672, 102528711, 94491288, 84117582, 115592743, 103857798
353, 102887136, 94974584, 89092554, 88137947, 97835712, 107627527
354, 109957927, 94535136, 103126480, 74373486, 101698230, 114431908
355, 117456040, 107927433, 99263975, 84039400, 111210503, 123768743
356, 113283199, 101701333, 91799985, 91316818, 113226099, 114865420
357, 107450060, 95307065, 89713695, 85350471, 115585748, 112417239
358, 124539390, 101340645, 89676441, 82089666, 122246965, 110192257
359, 116864344, 100181276, 107463549, 87303112, 119602740, 137701372
360, 125754986, 91556393, 90418145, 85110329, 97673163, 111782680
361, 107919859, 94389467, 97284615, 83798779, 109126665, 112363502
362, 104973398, 96254003, 96691732, 92186415, 96834223, 111663999
363, 122783334, 109646381, 99893582, 85232049, 114265491, 125916579
364, 119255191, 97480108, 106238283, 89821345, 120993769, 120730893
365, 114507157, 104483950, 106887087, 114267367, 133089803, 136723165
366, 151051068, 123624525, 121616827, 100560535, 125808476, 127041567
367, 127863152, 110928457, 96380061, 80679211, 116086898, 113531352
368, 112315652, 97384758, 99119178, 90538078, 104887289, 127168986
369, 118397575, 93253909, 99145482, 86717388, 119467351, 115738282
370, 121435348, 101512895, 94355356, 87274909, 110914360, 117792915
371, 127105811, 89831655, 99806140, 86970804, 108580422, 122145630
372, 114086701, 110786269, 120064212, 91282214, 112835211, 117378208
373, 119972230, 102257865, 106232510, 88787145, 120861731, 112971152
